overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote
1,TRUE,"07 28, 2015",A8WPDNKT966MM,B003O6E6CA,{'Format:': ' Video Game'},Brian F. Loesch,Trying to return it b.c it is a very difficult game that is not as fun as Tiger Woods PGA Tour 10.,c it is a very difficult game that is not as fun as Tiger Woods PGA Tour 10,1438041600,
5,TRUE,"07 3, 2015",A3OK9OG59B79RT,B003O6E6CA,{'Format:': ' Video Game'},Craig Fleck,Great game!,Five Stars,1435881600,
5,TRUE,"06 12, 2015",A2W47GM921BYNG,B003O6E6CA,{'Format:': ' Video Game'},Dave,My son loves this game,Great,1434067200,
5,TRUE,"05 22, 2015",A115EJA07M2P13,B003O6E6CA,{'Format:': ' Video Game'},Ken Batson,Product is as advertised,Five Stars,1432252800,
5,TRUE,"11 14, 2011",A2DDH15U4Q72KQ,B003O6E3C8,{'Platform:': ' PlayStation 3'},wlmeng11,"This game is unique.
This game is amazing.
This game is epic.
This game is a win.
Unique, amazing, epic, win. And more, if I used a thesaurus.

There is simply no other game that this can be compared to.
Maybe the original one, or one of its mods. But it's still very unique.
You will actually have to think to solve many of the puzzles in this game.
The story is hilarious. GLaDOS makes bad jokes, which is the whole point. It's like an anti-joke. It's funny because she's a robot, therefore making bad jokes.

Don't complain about Steam, as it is probably one of the most generous forms of DRM out there, and it is the best gaming client for Windows (and the only major one for OS X).

What's nice about the PS3 version is that after you play on the PS3 and link it to your Steam account, you unlock the PC/Mac version for FREE! (Yes, you need a PS3, and yes, you need PSN to work.)

I don't want to giveaway the details of the game, but Portal 2 delivers a truly unique, amazing experience.",There is no other game that can even come close...,1321228800,
5,FALSE,"11 11, 2011",A1MRPX3RM48T2I,B003O6E3C8,{'Platform:': ' PlayStation 3'},Trenton Bennett,"If you've already played Portal, you won't be disappointed with Portal 2:  it's more of the same, and then some more on top.  While the difficulty still has to start low and ramp itself up to get new players used to the world, it does so in a way that old players will find new and interesting.  This time around, top-notch voice-acting injects a wicked sense of humor into Portal 2 that is just perfect:  there were times my family came in the room simply to be in earshot of Portal 2's dialogue.

While I will go out of my way not to give you spoilers, I will tell you that the storyline for Portal 2 gives us a nice new level of depth while still bringing back some familiar themes.  It removes some of the isolation by making your relationship with your character just a bit more personal:  others who talk to you drop you little hints about your past.  Best of all, Portal 2 adds some very clever new 'items' to your interaction that bring entire new dimensions to the problem-solving you'll have to do.  There is a supporting cast of other characters--some of whom you never actually meet--but just like Gordon Freeman in Half-Life, you still play a silent partner in the story.

The concept behind Portal is simple:  you are trapped in a series of areas that have been designed to challenge your brain.  Each has puzzles that require you to do particular actions (press a switch, carry an object, etc.) in order to get to the exit, and each exit leads you on to the next level.  Some have obstacles, some have hazards...and some are downright deadly.

Where Portal is different is that it holds a first-person-shooter perspective but requires no fast-twitch skills.  You do need to be able to stomach some very dizzying spins and turns, and you will get at least a bit of vertigo at times when you're hurtling off a ledge aiming yourself at a narrow hole.  The only object you hold is a device capable of opening said hole: ""portals"" are inexplicable holes in reality.  Pop a hole in one wall, place an exit in another, and when you step through Hole A, out you go through Hole B.  Simple?  Not when you have to put a hole in the bottom of a pit, open another in a vertical wall, and then hope you fall into the pit fast enough that coming out the wall above you has enough momentum to throw you onto that platform on the other side of the room near the ceiling.  Not to worry--you won't be straining the laws of physics right away:  Portal 2 gradually works you towards the more complicated rooms at a very capable rate.  Just as in the first game, we have moments where we peek behind the curtain, but stepping outside of the rat-maze doesn't mean you get to stop thinking on your feet.

Portal 2 for the PS3 also offers a two-player co-op mode that takes our problem-solving skills to a new level:  instead of a competitive race to the end, it's all about teaming up, working together to get to the exit.  A perfect example of this is that there is one puzzle in which both of you need to reach the goal, and you will only be able too stop your hurtling momentum if each of you times things just right and crashes into the other...causing both of you to drop down exactly where you need to be.

Portal 2 for the PS3 comes with an added bonus:  it supports Valve's ""Steam"" system.  While controversial to PC Gamers, Steam is designed for the PS3 to be a point to track your savegames and trophies and upload screenshots.  The bonus comes in when you use an existing Steam account or create a new one:  tying Portal 2 into Steam will unlock a copy of the PC & Mac versions that you can play on any computer.

If you enjoy thinking on your feet, don't mind the first-person interface, and want something different from a shooter game, Portal 2 will fill your needs perfectly.  It is clever, it is funny, and it is paced just right to keep the frustration low and the fun factor high.","Not a Cakewalk, but Fun & Rewarding Just the Same",1320969600,
5,TRUE,"11 9, 2011",A1FVGDUDCLOJPF,B003O6E3C8,{'Platform:': ' PlayStation 3'},BluuA,"I bought this game used! Worked really fine with 0 problems. I checked the back as it came in and it was scratch less. I like to think I bought it new.

You will not regret buying this game. It's fun and frustrating to play. It's a problem solving game so you constantly have to figure out how to get yourself out of situations, some less obvious than others. I enjoyed every minute of it! Even the times when I gave up on a ""test"" in a fit.. I'd always come back later and be like ""OH! NOW I GET IT!"". This game is really funny as well.  GLaDOS and Wheatley two main characters are funny throughout.

One of my favorite quotes from GLaDOS.

"" Science has now validated your birth mother's decision to abandon you on a doorstep.""

Oh, and this one

""I honestly, truly didn't think you'd fall for that trap. In fact, I designed a much more elaborate trap further ahead for when you got through with this easy one. If I'd known you'd let yourself get captured this easily, I'd have dangled a turkey leg on a rope from the ceiling.""",AMAZING PROBLEM SOLVING GAME!,1320796800,
5,TRUE,"11 8, 2011",A2CPBB9SLAFH4O,B003O6E3C8,{'Platform:': ' PlayStation 3'},Luis Trujillo,"this is a great game I really enjoyed it.

ok, I didn't play the first portal so I just searched some info about the story trying to avoid any sopoiler from this one.

I have it on PS3

Pros:
- the game puzzle mechanics.
- story, there is not much to it but it's fun.
- characters are very likeable.
- voices are well done.

Cons:
- I found the puzzles to be fairly easy, except in 3 ocations from the midle to the end where I didn't kno what to do. thouse 3 ocations were very easy to overcome it's just that I didn't realize the simple solution.
- I beated the game in like 8 hours for the single player and same time for the local co-op.
- you can only play multiplayer with people on your psn or steam friends list.",Awsome Game,1320710400,
5,TRUE,"11 4, 2011",AUU4G4TASZUWV,B003O6E3C8,{'Platform:': ' PlayStation 3'},Nik Blach,"Awesome game.  More of the portal madness you love.  They really didn't 'add' much except for the 3 gels, but the story in this game is Awesome, the dialogue is interesting and funny, and the multiplayer (especially considering the PS3 copy comes with a free PC copy) is really cool.
And it is possible to give your Steam code to someone else so you can play with them.  Log onto Steam with the PS3 with the disc on your account, And on the account you're giving it to.  If there is no Steam/PS3 sync you can't use the code.
But, it's possible, it works great, and 2 games for the price of 1 is awesome :D

Plus, Valve has already added 1 free expansion and now they're releasing the 'make a test chamber' feature which should be awesome.",Creative and fun game with new expansions still coming out for free!,1320364800,
5,TRUE,"11 1, 2011",A2BHHE6GJUS3ON,B003O6E3C8,{'Platform:': ' PlayStation 3'},Matthew,"In most games, there is something to destroy or kill. There are so few games like Portal that offer something truly unique. I really enjoyed the first Portal and the 2nd is leaps and bounds beyond the 1st.

Pros:
 - Great co-op multiplayer
 - Free DLC
 - Wide variety of puzzles
 - GLADOS's commentary

Cons:
 - Call me a noob, but some of the rooms were a bit difficult. I have yet to look up walkthroughs on the internet, but I've been close a few times.

Buy this and play with a friend (with a mic). It's the best way to enjoy it.",Amazing game!,1320105600,
5,TRUE,"10 31, 2011",A3CCFP5504XBKC,B003O6E3C8,{'Platform:': ' PlayStation 3'},Beatrice Kelley,"Im 35 years old and enjoy puzzle games.  This one beat it out of the park, provided many hours of great entertainment.  Wish there were more games like this out there.",Awesome!,1320019200,
5,TRUE,"10 30, 2011",A2WCN1OZ6X8JME,B003O6E3C8,{'Platform:': ' PlayStation 3'},Violet Embers,"I occationally watched my husband play portal 1 on PC. When we bought portal 2 for ps3, i found the story to be extremely interesting (especially if you played portal 1), the puzzles challenging (but not too challenging), and the comments from the machines hilarious! Definitely more of a light hearted mood in the game but pretty neat that you get to try to escape the facility instead of just going through puzzle room after puzzle room. Also, the multiplayer co-op is fantastic!!!! My husband and I LOVE playing together and solving the puzzles. Definitely a MUST BUY for anyone who likes puzzles with a great twist.",Love it!,1319932800,
5,FALSE,"10 28, 2011",A1WEL67Y9X6VLO,B003O6E3C8,{'Platform:': ' PlayStation 3'},Michael Thompson,Portal is back and better than ever.  I especially like the PS3 version because of the steam integration which lets me also play it on my PC while the TV is being held hostage by my wife and son. ;),amazing game,1319760000,
5,TRUE,"10 26, 2011",ANU89CZNJ3C4T,B003O6E3C8,{'Platform:': ' PlayStation 3'},originalsince85,"Loved the original, love the second installment. Great puzzle game with a great cast and great humor. As someone with very minimal gaming experience, it was simple to pick up and totally enjoyable.",Awesome game!,1319587200,
